latitude,longitude,hour_of_day,direction,distance_to_nearest_stop,nearest_stop_name,is_stop
14.6036078,120.9829618,10,1,11.0455,Recto LRT,1
14.6036357,120.9829415,10,1,9.526,Recto LRT,1
14.6036311,120.982944,10,1,9.7471,Recto LRT,1
14.6036344,120.9829461,10,1,9.3191,Recto LRT,1
14.6036326,120.9829473,10,1,9.3981,Recto LRT,1
14.603633,120.9829446,10,1,9.5414,Recto LRT,1
14.6036323,120.982945,10,1,9.5757,Recto LRT,1
14.6036313,120.9829442,10,1,9.7163,Recto LRT,1
14.6036358,120.9829517,10,1,8.8302,Recto LRT,1
14.6036297,120.9829485,10,1,9.582,Recto LRT,1
14.6036331,120.9829538,10,1,8.9471,Recto LRT,1
14.6036409,120.9829444,10,1,8.887,Recto LRT,1
14.6036335,120.9829401,10,1,9.8092,Recto LRT,1
14.6036331,120.982944,10,1,9.5733,Recto LRT,1
14.6036365,120.9829536,10,1,8.6478,Recto LRT,1
14.603629,120.9829468,10,1,9.7518,Recto LRT,1
14.6036327,120.9829504,10,1,9.1916,Recto LRT,1
14.6036293,120.9829434,10,1,9.9446,Recto LRT,1
14.6036297,120.9829559,10,1,9.1446,Recto LRT,1
14.6036284,120.9829463,10,1,9.8374,Recto LRT,1
14.6036341,120.9829475,10,1,9.2525,Recto LRT,1
14.6036345,120.9829458,10,1,9.3305,Recto LRT,1
14.6036391,120.9829471,10,1,8.8463,Recto LRT,1
14.6036338,120.9829429,10,1,9.5883,Recto LRT,1
14.6036358,120.9829437,10,1,9.3627,Recto LRT,1
14.6036338,120.9829458,10,1,9.3914,Recto LRT,1
14.603637,120.9829479,10,1,8.9723,Recto LRT,1
14.6036335,120.9829458,10,1,9.4176,Recto LRT,1
14.6036334,120.9829507,10,1,9.1095,Recto LRT,1
14.6036397,120.9829457,10,1,8.8936,Recto LRT,1
14.6036363,120.9829411,10,1,9.5046,Recto LRT,1
14.6036365,120.9829447,10,1,9.2338,Recto LRT,1
14.6036328,120.9829482,10,1,9.3222,Recto LRT,1
14.6036315,120.982896,10,1,13.5369,Recto LRT,1
14.6036005,120.9828824,10,1,16.8088,Recto LRT,1
14.6036502,120.9828292,10,1,19.1946,Recto LRT,1
14.6036727,120.982754,10,1,26.6437,Recto LRT,1
14.6037123,120.9827323,10,1,28.8377,Recto LRT,1
14.6037125,120.9826721,10,1,35.3102,Recto LRT,1
14.6036632,120.9826391,10,1,39.0488,Recto LRT,1
14.6036901,120.9826081,10,1,42.1838,Recto LRT,1
14.6037047,120.9825442,10,1,49.048,Recto LRT,1
14.6037375,120.9824968,10,1,54.3059,Recto LRT,0
14.6037059,120.9824405,10,1,60.2072,Recto LRT,0
14.6037271,120.982427,10,1,61.7298,Recto LRT,0
14.603778,120.9823948,10,1,65.6961,Recto LRT,0
14.6038277,120.9824675,10,1,59.0316,Recto LRT,0
14.6038909,120.9824564,10,1,62.2253,Recto LRT,0
14.6039538,120.982467,10,1,63.9195,Recto LRT,0
14.6040148,120.9825872,10,1,56.5533,Recto LRT,0
14.6040546,120.9824452,10,1,71.5439,Recto LRT,0
14.604147,120.9824837,10,1,74.5444,Recto LRT,0
14.6043965,120.9826303,10,1,87.0665,Recto LRT,0
14.604257,120.9825,10,1,82.0401,Recto LRT,0
14.6043052,120.9825509,10,1,82.8485,Recto LRT,0
14.6043517,120.9825235,10,1,88.7702,Recto LRT,0
14.6043831,120.9825623,10,1,89.3738,Recto LRT,0
14.604419,120.9825348,10,1,94.3267,Recto LRT,0
14.604538,120.9825726,10,1,103.9123,Recto LRT,0
14.6045785,120.982586,10,1,107.3628,Recto LRT,0
14.6046312,120.9825684,10,1,113.4826,Recto LRT,0
14.6047108,120.9826366,10,1,119.0035,Recto LRT,0
14.6047224,120.9825859,10,1,122.1059,Recto LRT,0
14.604795,120.9826369,10,1,127.8734,Recto LRT,0
14.6048506,120.9826275,10,1,134.0725,Recto LRT,0
14.6049142,120.982683,10,1,139.255,Recto LRT,0
14.604973,120.982684,10,1,145.5778,Recto LRT,0
14.6050367,120.9826655,10,1,152.9302,Recto LRT,0
14.6046012,120.9826647,10,1,106.5059,Recto LRT,0
14.6051061,120.9826943,10,1,159.7739,Recto LRT,0
14.6051124,120.9826742,10,1,160.9168,Recto LRT,0
14.6051482,120.9827642,10,1,163.0191,Recto LRT,0
14.6051648,120.982769,10,1,164.764,Recto LRT,0
14.6051963,120.9828056,10,1,167.6907,Recto LRT,0
14.6052368,120.982844,10,1,171.7068,Recto LRT,0
14.6053271,120.9828467,10,1,181.6757,Recto LRT,0
14.6054678,120.9828771,10,1,197.0147,Recto LRT,0
14.605544,120.9828597,10,1,205.5984,Recto LRT,0
14.6056806,120.9828894,10,1,220.554,Recto LRT,0
14.6060352,120.9830774,10,1,200.3255,Sulu Manila,0
14.6059235,120.9828989,10,1,220.8827,Sulu Manila,0
14.6060028,120.9829502,10,1,210.48,Sulu Manila,0
14.606186,120.9829464,10,1,193.839,Sulu Manila,0
14.6062807,120.9829668,10,1,184.0659,Sulu Manila,0
14.6064301,120.9829539,10,1,172.0252,Sulu Manila,0
14.6065113,120.9829641,10,1,164.5576,Sulu Manila,0
14.6066586,120.9829752,10,1,152.0428,Sulu Manila,0
14.606728,120.9829461,10,1,149.2022,Sulu Manila,0
14.6068324,120.9829764,10,1,139.3414,Sulu Manila,0
14.6069383,120.9829691,10,1,133.1096,Sulu Manila,0
14.6069744,120.982981,10,1,129.8505,Sulu Manila,0
14.6070988,120.9829671,10,1,124.3311,Sulu Manila,0
14.6071949,120.9829364,10,1,122.9899,Sulu Manila,0
14.6071987,120.9829591,10,1,120.5634,Sulu Manila,0
14.6073228,120.982977,10,1,114.3096,Sulu Manila,0
14.6074303,120.9829308,10,1,116.5839,Sulu Manila,0
